image_model,number_layers,train_validation,correct_prediction,total_images,total_relations,recall@100
inception_v3,3, t,45609,51487,174106,26.20%
inception_v3,3, v,4951,5700,39683,12.48%
inception_v3,6, t,42190,51487,174106,24.23%
inception_v3,6, v,4688,5700,39683,11.81%
inception_v3,9, t,46471,51487,174106,26.69%
inception_v3,9, v,5019,5700,39683,12.65%
mobilenetv2_1.00_224,3, t,48270,51487,174106,27.72%
mobilenetv2_1.00_224,3, v,5180,5700,39683,13.05%
mobilenetv2_1.00_224,6, t,50352,51487,174106,28.92%
mobilenetv2_1.00_224,6, v,5575,5700,39683,14.05%
mobilenetv2_1.00_224,9, t,50218,51487,174106,28.84%
mobilenetv2_1.00_224,9, v,5540,5700,39683,13.96%
NASNet,3, t,47742,51487,174106,27.42%
NASNet,3, v,5285,5700,39683,13.32%
NASNet,6, t,49768,51487,174106,28.58%
NASNet,6, v,5442,5700,39683,13.71%
NASNet,9, t,50206,51487,174106,28.84%
NASNet,9, v,5532,5700,39683,13.94%
resnet101,3, t,21356,51487,174106,12.27%
resnet101,3, v,2534,5700,39683,6.39%
resnet101,6, t,18884,51487,174106,10.85%
resnet101,6, v,2505,5700,39683,6.31%
resnet101,9, t,21126,51487,174106,12.13%
resnet101,9, v,2746,5700,39683,6.92%
resnet50,6, t,18064,51487,174106,10.38%
resnet50,6, v,2505,5700,39683,6.31%
resnet50,9, t,18615,51487,174106,10.69%
resnet50,9, v,2562,5700,39683,6.46%
vgg16,6, t,20046,51487,174106,11.51%
vgg16,6, v,2867,5700,39683,7.22%
vgg16,9, t,21984,51487,174106,12.63%
vgg16,9, v,2891,5700,39683,7.29%
vgg19,3, t,18619,51487,174106,10.69%
vgg19,3, v,2624,5700,39683,6.61%
vgg19,6, t,18958,51487,174106,10.89%
vgg19,6, v,2691,5700,39683,6.78%
vgg19,9, t,20115,51487,174106,11.55%
vgg19,9, v,2759,5700,39683,6.95%
